Strategy,Avg. Baseline %HITS@N,Avg. Reform %HITS@N,% Imp. %HITS@N,Avg. Baseline MAP,Avg. Reform MAP,% Imp. MAP,Avg. Baseline MRR,Avg. Reform MRR,% Imp. MRR
BLIZZARD--TITLE+OB+T_OTHER,0.2279305897,0.2940711522,0.2901785257,0.058586386,0.0937422041,0.6000680439,0.0744906485,0.1209126745,0.6231926684
BLIZZARD--TITLE+OB,0.2279305897,0.2920020752,0.2811008632,0.058586386,0.1010053648,0.7240415664,0.0744906485,0.1289121227,0.7305812927
BLIZZARD--TITLE+OB+S2R,0.2279305897,0.2850461676,0.2505832058,0.058586386,0.0977425679,0.6683495013,0.0744906485,0.1238766882,0.6629830817
TITLE+OB,0.2279305897,0.2827762691,0.2406244788,0.058586386,0.0922392292,0.5744140477,0.0744906485,0.1162845573,0.5610624913
BLIZZARD--TITLE+S2R,0.2279305897,0.282039029,0.2373899853,0.058586386,0.0972969839,0.6607439113,0.0744906485,0.1224483867,0.6438088429
BLIZZARD--TITLE+OB+T_S2R,0.2279305897,0.2819484263,0.2369924838,0.058586386,0.0938522341,0.601946125,0.0744906485,0.1180055259,0.5841656413
BLIZZARD--OB+T_OTHER,0.2279305897,0.2811421688,0.2334551898,0.058586386,0.0899945427,0.5360999161,0.0744906485,0.1155127116,0.5507008461
BLIZZARD--TITLE+OB+CODE,0.2279305897,0.280330643,0.2298947823,0.058586386,0.0943087409,0.6097381542,0.0744906485,0.1250599602,0.6788679221
BLIZZARD--TITLE+T_OTHER,0.2279305897,0.2801028775,0.2288955067,0.058586386,0.0900087046,0.5363416429,0.0744906485,0.1163131547,0.5614463978
BLIZZARD--TITLE+OB+T_OTHER+S2R,0.2279305897,0.2798871138,0.2279488864,0.058586386,0.0905102178,0.5449018779,0.0744906485,0.1156450053,0.5524768235
BLIZZARD--TITLE+OB+T_OTHER+CODE,0.2279305897,0.2796818137,0.227048173,0.058586386,0.0940654226,0.6055849999,0.0744906485,0.1239692802,0.6642260831
BLIZZARD--TITLE+T_OB+T_OTHER,0.2279305897,0.2791642533,0.2247774803,0.058586386,0.0933586369,0.5935210064,0.0744906485,0.1176932568,0.5799735837
BLIZZARD--OB+T_OTHER+S2R,0.2279305897,0.2781608774,0.2203753686,0.058586386,0.0895293357,0.5281593861,0.0744906485,0.1144270186,0.5361259555
BLIZZARD--TITLE+T_OB+T_S2R,0.2279305897,0.2779143233,0.2192936615,0.058586386,0.0915915648,0.5633591867,0.0744906485,0.114399335,0.5357543178
BLIZZARD--TITLE+T_OTHER+S2R,0.2279305897,0.27764637,0.21811807,0.058586386,0.0895827112,0.5290704412,0.0744906485,0.1142310482,0.5334951498
BLIZZARD--TITLE+T_OB,0.2279305897,0.2771374382,0.2158852332,0.058586386,0.0963677874,0.6448836302,0.0744906485,0.1204430349,0.6168879901
